t_s,mode,wall,x_m,y_m,z_m,nose_x,nose_z,roll_rad,pitch_rad,heading_rad,desired_heading_rad,heading_error_rad,clearance_m,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,left_effort,right_effort,wp_x,wp_z
0.016,self_right,none,1.702269403401778e-10,0.659738541159777,-6.196895690408459,-3.7248589375017385e-09,-5.776895690408459,1.5726515246687158,-1.0435732919371535e-09,-9.274013994861705e-09,-1.4882974001488507,-1.4882973908748367,4.223104309591541,1.0639183771261113e-08,-0.016341177513939893,0.19401934947131858,0.11572032485355511,-6.575992670216303e-08,-5.795654933586808e-07,0.00042863968918289416,0.021205383963596492,-4.8,-5.8
0.032,self_right,none,-0.0014775421292550737,0.6617639083716981,-6.1905360618056084,-0.001188129174635326,-5.770536161519737,1.5695638746785228,0.00968194487961734,0.0006890785179127848,-1.48958858036486,-1.4902776588827729,4.229463838480263,-0.09234639371762589,0.1265854507450638,0.39747678767816275,-0.19318676518620242,0.6050598611153766,0.04400219853383292,0.0016781514042329632,0.020729694522605438,-4.8,-5.8
0.048,self_right,none,-0.003856430478882953,0.6650736547019164,-6.183213317313753,-0.0031571425580185354,-5.763213899461295,1.5639186284526818,0.019009819720497048,0.0016649720094069087,-1.4910654063398638,-1.4927303783492707,4.236786100538705,-0.14868052185174244,0.20685914563864227,0.45767153074091715,-0.35348236299065916,0.5825808316315645,0.0660548716096259,0.0036939241164022866,0.02022577758107131,-4.8,-5.8
0.064,self_right,none,-0.006601081309557196,0.6688628370345919,-6.175810580992478,-0.0054744363748189485,-5.755812092100922,1.5572196833801943,0.0283846837027317,0.0026824911569450403,-1.4925546863948609,-1.4952371775518059,4.244187907899078,-0.1715406769171402,0.23682389579221882,0.462671020079713,-0.4198454212942744,0.5850221413772229,0.07351583441664207,0.006421346796942946,0.0196956448984983,-4.8,-5.8
0.08,self_right,none,-0.009492328752274824,0.6727996744928108,-6.1685299413960495,-0.007961392171026425,-5.748532731603908,1.550227587243643,0.037842505742096806,0.0036450951700975295,-1.4940183445982909,-1.4976634397683883,4.251467268396092,-0.18070296516985174,0.24605234113867547,0.45503997477677954,-0.43864116494172756,0.5897335690669238,0.07463117577848014,0.00980580841710702,0.01914130823439059,-4.8,-5.8
0.096,self_right,none,-0.012456275227245024,0.6767873804465276,-6.161337787049077,-0.010554015707941022,-5.74134209491793,1.5432016724877529,0.046985013457266994,0.004529204816782307,-1.4954645838630656,-1.4999937886798478,4.25865790508207,-0.18524665468563753,0.249231622107308,0.44950964668577165,-0.44106299049586445,0.5696128778411956,0.07387626514471347,0.013792697948146585,0.018564779348252358,-4.8,-5.8
0.112,self_right,none,-0.015457132974635466,0.6808062359744537,-6.154111622890368,-0.013201392804888213,-5.734117680509901,1.5361486823732964,0.05450993485448218,0.0053708357490099895,-1.496919432960754,-1.5022902687097641,4.265882319490099,-0.18755360921190264,0.25117847049537756,0.45163525991929243,-0.4425720447240638,0.4681248871258959,0.07496268217135717,0.018327404361313727,0.017968069999587794,-4.8,-5.8
0.128,self_right,none,-0.01847939619890794,0.6848308619646521,-6.146838210371321,-0.015880711259588443,-5.7268462499285215,1.529124118907955,0.06050364494761866,0.006187384572900132,-1.498385928773324,-1.5045733133462242,4.2731537500714785,-0.18889145151702977,0.25153912438740555,0.4545882824404324,-0.44047087822165193,0.37206876200825534,0.07626812023721967,0.02335531662786052,0.01735319194790107,-4.8,-5.8
0.144,self_right,none,-0.021511687641480495,0.6888467698399289,-6.139528373467537,-0.018571259324940234,-5.719538666592101,1.5221537908056078,0.06515637017977442,0.007001076994203251,-1.4998620281736397,-1.506863105167843,4.280461333407899,-0.18951821516078465,0.2509942422047939,0.4568648064864768,-0.43669702984242487,0.28792250140217,0.07820957614514704,0.028821823719039064,0.01672215695269638,-4.8,-5.8
0.16,self_right,none,-0.024506853578177806,0.6928230903080115,-6.1323141485434425,-0.021135540885777702,-5.712327679415293,1.5153853145695726,0.06661882951107942,0.008027021182562339,-1.5013209257304387,-1.5093479469130011,4.287672320584707,-0.18719787104358185,0.24852002925516598,0.45088905775592475,-0.42278859109697825,0.08822941338401069,0.09197389541735479,0.03467231460610141,0.016076976773477893,-4.8,-5.8
0.176,self_right,none,-0.02747308630041692,0.6967644907113311,-6.1252214356135575,-0.023536957559639853,-5.705239880196494,1.5089052788883013,0.06417662015830192,0.009371872288184906,-1.5027570192748163,-1.5121288915630011,4.294760119803506,-0.18538954513994466,0.24633752520747207,0.44329455811781276,-0.4027951898272388,-0.1561481763950222,0.11052068363514995,0.040852178260299646,0.015419663169749815,-4.8,-5.8
0.192,self_right,none,-0.03043337741958969,0.7006740753874408,-6.118243440670812,-0.025807208224257402,-5.698268919350083,1.5027730841080564,0.05783018223561497,0.011014911295653943,-1.504171317925712,-1.5151862292213658,4.301731080649917,-0.185018194948298,0.2443490422568538,0.4361246839215861,-0.378489515752307,-0.40053272992949174,0.1260559688369916,0.047306803652885865,0.01475222790101631,-4.8,-5.8
0.208,self_right,none,-0.03338026085953511,0.7045463952411081,-6.111391135506496,-0.027947270749167936,-5.691426276716548,1.49699860625959,0.047740177872865774,0.012936051525508864,-1.505561566910583,-1.5184976184360919,4.308573723283452,-0.1841802149965888,0.2420199908542039,0.4282690727697793,-0.3528302266178316,-0.6349017427769077,0.13911319980911557,0.05398157975511214,0.014076682726781567,-4.8,-5.8
0.224,self_right,none,-0.036302918056682856,0.7083759680396983,-6.104679988630092,-0.02996012390894091,-5.684727885453553,1.491550865201515,0.0342931793211365,0.015102464927636434,-1.5069246013723367,-1.522027066299973,4.315272114546447,-0.18266607482173422,0.23934829991188747,0.41944667977519984,-0.32839067797310645,-0.845137361608818,0.14936285849469652,0.06082189553823053,0.013395039406549769,-4.8,-5.8
0.24,self_right,none,-0.039195042022209574,0.7121578405795225,-6.0981237495338725,-0.03185428717434287,-5.6781879052454105,1.4863913750999627,0.017949240062881757,0.017478877718140343,-1.5082575362291684,-1.5257364139473086,4.3218120947545895,-0.18075774784541984,0.23636703373901324,0.40976494351373255,-0.30568657562721724,-1.0266355896179784,0.15694848160861435,0.06777313997349314,0.012709309699825106,-4.8,-5.8
0.256,self_right,none,-0.04210274929010342,0.7158647715255239,-6.091824377419415,-0.033767247611129314,-5.671907100551983,1.4815832553315984,0.0003420780458162589,0.019847735655039597,-1.509538329209076,-1.5293860648641155,4.328092899448017,-0.18173170424336538,0.23168318412508712,0.3937107571536237,-0.279917681005698,-1.1058933393677037,0.15080210670878144,0.07478070203215206,0.012021505366111743,-4.8,-5.8
0.272,self_right,none,-0.04507459642630401,0.7195115213807707,-6.085743316193741,-0.035830534292474146,-5.665845057903396,1.4770567213327181,-0.016573072503254807,0.022011449142957072,-1.5107743356700747,-1.5327857848130317,4.334154942096604,-0.18574044601253667,0.2279218659529233,0.38006632660460804,-0.26072223306286385,-1.0629119213480274,0.13293614014495872,0.08178997068545933,0.01133363816491388,-4.8,-5.8
0.288,self_right,none,-0.048165665923128285,0.7231120518996234,-6.079791096373322,-0.038051888450160366,-5.6599128860489145,1.4727579043218604,-0.0336427491891868,0.02408275040156104,-1.511983580210723,-1.5360663306122841,4.3400871139510855,-0.19319184355151733,0.22503315742829347,0.37201373877622895,-0.2439440312510743,-1.0727878184399353,0.1227109261354289,0.08874633490466709,0.010647719855735696,-4.8,-5.8
0.304,self_right,none,-0.051358932255599996,0.726653109880314,-6.073958477167727,-0.040414940171307756,-5.654101085858179,1.4686721655074706,-0.05054166478066811,0.026060073595220164,-1.5131682318708382,-1.5392283054660583,4.345898914141821,-0.19957914577948171,0.22131612379316218,0.36453870034967106,-0.2285840281980654,-1.0622719520629886,0.11283689520204944,0.09559518366102734,0.009965762198081372,-4.8,-5.8
0.32,self_right,none,-0.05465190880242287,0.7301304240366654,-6.068226019313401,-0.04289274965623519,-5.648390668043198,1.4647838932542794,-0.06743649914967789,0.028001657139957996,-1.5143324166183503,-1.5423340737583082,4.351609331956802,-0.20581103417642965,0.21733213477196375,0.3582786158953889,-0.2139749088899413,-1.062123874244351,0.10702143021494918,0.10228190592579221,0.009289776951455086,-4.8,-5.8
0.336,self_right,none,-0.058036639999667655,0.7335494594950613,-6.062547277929097,-0.04549293159039368,-5.642734634742469,1.4610495868391582,-0.0837669303832654,0.029870414142762376,-1.5154860106940922,-1.5453564248368545,4.357265365257531,-0.21154569982779914,0.21368971614974708,0.3549213365190042,-0.2031079795955831,-1.0269811785976726,0.09916853130373582,0.10875189067021376,0.008621775875361025,-4.8,-5.8
0.352,self_right,none,-0.06149693857310166,0.7369139387874863,-6.056875157962418,-0.04818658989097269,-5.637086122114696,1.457472305685851,-0.09952861314562932,0.03169661358694243,-1.5166391452525672,-1.5483357588395097,4.362913877885304,-0.21626866083962498,0.2102799557765606,0.3545074979174304,-0.19222264967118577,-0.991511938370978,0.09367488277795957,0.11495052686554412,0.007963770729303382,-4.8,-5.8
0.368,self_right,none,-0.06501653942423133,0.7402178122352323,-6.05120657111133,-0.05094368310438203,-5.631442405519506,1.454056136004629,-0.1148572848866103,0.033513073643918756,-1.51779270304877,-1.5513057766926885,4.368557594480494,-0.2199750531956048,0.20649209048412226,0.354286678192985,-0.18094689454076598,-0.964472287607977,0.09068504952600588,0.12082320348303528,0.007317773272786333,-4.8,-5.8
